,,,,,,,,,,
,Pressure vessel design,,Piston Lever,,Corrugated Bulkhead,,I-beam vertical deflection minimization,,Gear Train,
24,10473.8224,6126.4948,8.3844,7.0713,0.013379,0.013097,2.91E-05,2.31E-11,1.30E-07,4.12E-11
25,12296.5508,6073.2574,8.0709,7.6164,0.013241,0.013112,1.76E-07,2.70E-12,1.03E-07,3.59E-11
26,13847.6922,7050.1238,8.5294,7.2174,0.01522,0.013382,2.73E-08,9.92E-10,1.74E-08,1.06E-11
27,9984.9896,6095.9023,8.0496,7.1599,0.20739,0.013082,6.87E-09,2.31E-11,2.46E-08,2.23E-11
28,7337.0998,6076.1677,9.214,7.6291,0.013293,0.013459,2.36E-09,1.36E-09,1.76E-09,3.62E-11
29,6671.3945,6073.3758,8.6568,8.034,0.024302,0.013184,0.00011836,1.17E-10,1.04E-08,3.24E-11
30,14887.1596,6318.2438,7.7919,7.164,0.023673,0.013081,2.73E-08,2.36E-09,2.65E-07,1.15E-11
31,17145.2044,6091.2716,9.2603,6.9875,0.05274,0.013462,6.86E-07,8.89E-10,2.25E-07,2.46E-11
32,16398.6585,6101.7659,8.3429,6.9177,0.019337,0.013221,5.74E-07,1.17E-10,5.16E-09,5.03E-11
33,8700.2457,6334.3122,8.8606,7.0234,0.013479,0.013088,0.00014769,2.36E-09,1.21E-07,5.90E-11
34,6506.0432,7306.7777,9.0851,7.9971,0.013717,0.013125,9.29E-07,2.36E-09,4.15E-08,3.15E-11
35,8585.7865,6837.3074,7.9749,7.9017,0.15601,0.013194,0.00063566,9.94E-11,2.19E-07,1.45E-11
36,9443.9406,6424.1904,7.6643,7.7402,0.0133,0.013165,1.01E-07,8.89E-10,4.32E-08,2.41E-11
37,7518.4132,6328.8611,8.1047,6.9548,0.088685,0.013116,0.00064606,9.94E-11,7.22E-09,5.85E-11
38,8389.642,6103.3602,8.375,7.0398,0.029383,0.013108,6.07E-08,9.94E-11,2.30E-07,4.23E-11
39,14786.3553,6639.4321,8.2286,7.8399,0.014496,0.013114,5.55E-07,3.82E-09,3.85E-08,4.86E-11
40,11395.4068,6827.1315,9.845,7.0184,0.013724,0.013387,0.0041051,2.31E-11,1.23E-09,2.07E-11
41,15343.2741,7048.5885,9.2729,7.6292,0.015753,0.013232,2.73E-08,1.26E-09,6.56E-08,1.89E-11
42,12621.5802,6127.8585,7.3231,8.2806,0.023742,0.013389,0.00098615,1.17E-10,4.01E-08,4.27E-11
43,11247.2393,7310.4517,8.5885,7.2126,0.12526,0.013195,0.0020749,2.31E-11,7.06E-09,4.90E-11
44,17592.7345,6419.6091,7.7916,6.9483,0.10945,0.013199,1.80E-06,2.36E-09,4.80E-08,2.80E-11
45,17205.9339,6118.8413,7.0829,7.4088,0.013795,0.013282,1.05E-06,1.31E-08,3.93E-07,5.62E-11
46,10480.3975,6143.3261,8.6814,6.9253,0.013832,0.013303,0.0015357,2.36E-09,1.55E-07,4.57E-11
47,8480.2532,6099.076,7.3432,7.5755,0.013221,0.013381,2.36E-09,9.94E-11,1.99E-07,1.96E-11
48,10147.9923,6070.9077,8.2596,7.2447,0.223,0.013085,4.47E-08,8.89E-10,1.09E-07,4.74E-11
49,25284.7683,6099.3257,7.4372,7.3571,0.021512,0.013283,0.016212,6.60E-10,2.39E-07,3.25E-11
50,7603.6584,6647.6825,8.0322,7.0797,0.017634,0.013312,8.05E-07,1.17E-10,5.84E-08,4.35E-11
Average ,12548.7883,6377.7654,8.349396,7.38242,0.04031596,0.01324872,9.05E-04,1.71E-09,6.30E-08,3.15E-11
